city,country,path,region,shapers,slug,title,description,name,role,hub,company
Abidjan,Côte d'Ivoire,/hubs/abidjan-hub,Sub-saharan Africa,richard ahedor seshie tchonte pitin mireille silue arnold gnama leslie sibailly tchonté silué ouattara kady affouet carole attoungbre franck stephane dedi fatim keita diplo andréa konan assiry kouakou hervé benjamin amani yacou habib kouame rita oulai david olivier capo fofana abdul kader ibrahim christelle kouadio jacques cangah liliane boa bibi gnagno marc wabi thannan kazana coulibaly franck kie,abidjan-hub,Abidjan Hub,"Senior Adviser, Tax and Legal @ Deloitte",Liliane Boa,Curator,abidjan-hub, Deloitte
Abidjan,Côte d'Ivoire,/hubs/abidjan-hub,Sub-saharan Africa,richard ahedor seshie tchonte pitin mireille silue arnold gnama leslie sibailly tchonté silué ouattara kady affouet carole attoungbre franck stephane dedi fatim keita diplo andréa konan assiry kouakou hervé benjamin amani yacou habib kouame rita oulai david olivier capo fofana abdul kader ibrahim christelle kouadio jacques cangah liliane boa bibi gnagno marc wabi thannan kazana coulibaly franck kie,abidjan-hub,Abidjan Hub,Audiovisual Production Technician,Fofana Abdul Kader Ibrahim,None,abidjan-hub,
Abidjan,Côte d'Ivoire,/hubs/abidjan-hub,Sub-saharan Africa,richard ahedor seshie tchonte pitin mireille silue arnold gnama leslie sibailly tchonté silué ouattara kady affouet carole attoungbre franck stephane dedi fatim keita diplo andréa konan assiry kouakou hervé benjamin amani yacou habib kouame rita oulai david olivier capo fofana abdul kader ibrahim christelle kouadio jacques cangah liliane boa bibi gnagno marc wabi thannan kazana coulibaly franck kie,abidjan-hub,Abidjan Hub,Doctor,KONAN Assiry Kouakou Hervé Benjamin,None,abidjan-hub,
Abidjan,Côte d'Ivoire,/hubs/abidjan-hub,Sub-saharan Africa,richard ahedor seshie tchonte pitin mireille silue arnold gnama leslie sibailly tchonté silué ouattara kady affouet carole attoungbre franck stephane dedi fatim keita diplo andréa konan assiry kouakou hervé benjamin amani yacou habib kouame rita oulai david olivier capo fofana abdul kader ibrahim christelle kouadio jacques cangah liliane boa bibi gnagno marc wabi thannan kazana coulibaly franck kie,abidjan-hub,Abidjan Hub,Senior Consultante en Stratégie,Affouet Carole ATTOUNGBRE,None,abidjan-hub,
Abidjan,Côte d'Ivoire,/hubs/abidjan-hub,Sub-saharan Africa,richard ahedor seshie tchonte pitin mireille silue arnold gnama leslie sibailly tchonté silué ouattara kady affouet carole attoungbre franck stephane dedi fatim keita diplo andréa konan assiry kouakou hervé benjamin amani yacou habib kouame rita oulai david olivier capo fofana abdul kader ibrahim christelle kouadio jacques cangah liliane boa bibi gnagno marc wabi thannan kazana coulibaly franck kie,abidjan-hub,Abidjan Hub,CEO,David Olivier CAPO,None,abidjan-hub,
Abidjan,Côte d'Ivoire,/hubs/abidjan-hub,Sub-saharan Africa,richard ahedor seshie tchonte pitin mireille silue arnold gnama leslie sibailly tchonté silué ouattara kady affouet carole attoungbre franck stephane dedi fatim keita diplo andréa konan assiry kouakou hervé benjamin amani yacou habib kouame rita oulai david olivier capo fofana abdul kader ibrahim christelle kouadio jacques cangah liliane boa bibi gnagno marc wabi thannan kazana coulibaly franck kie,abidjan-hub,Abidjan Hub,Lawyer @ ECACI,Thannan Kazana Coulibaly,None,abidjan-hub, ECACI
Abidjan,Côte d'Ivoire,/hubs/abidjan-hub,Sub-saharan Africa,richard ahedor seshie tchonte pitin mireille silue arnold gnama leslie sibailly tchonté silué ouattara kady affouet carole attoungbre franck stephane dedi fatim keita diplo andréa konan assiry kouakou hervé benjamin amani yacou habib kouame rita oulai david olivier capo fofana abdul kader ibrahim christelle kouadio jacques cangah liliane boa bibi gnagno marc wabi thannan kazana coulibaly franck kie,abidjan-hub,Abidjan Hub,Senior Consultant - Advisory Services,FRANCK STEPHANE DEDI,None,abidjan-hub,
Abidjan,Côte d'Ivoire,/hubs/abidjan-hub,Sub-saharan Africa,richard ahedor seshie tchonte pitin mireille silue arnold gnama leslie sibailly tchonté silué ouattara kady affouet carole attoungbre franck stephane dedi fatim keita diplo andréa konan assiry kouakou hervé benjamin amani yacou habib kouame rita oulai david olivier capo fofana abdul kader ibrahim christelle kouadio jacques cangah liliane boa bibi gnagno marc wabi thannan kazana coulibaly franck kie,abidjan-hub,Abidjan Hub,Animation & Product Manager,ARNOLD GNAMA,None,abidjan-hub,
Abidjan,Côte d'Ivoire,/hubs/abidjan-hub,Sub-saharan Africa,richard ahedor seshie tchonte pitin mireille silue arnold gnama leslie sibailly tchonté silué ouattara kady affouet carole attoungbre franck stephane dedi fatim keita diplo andréa konan assiry kouakou hervé benjamin amani yacou habib kouame rita oulai david olivier capo fofana abdul kader ibrahim christelle kouadio jacques cangah liliane boa bibi gnagno marc wabi thannan kazana coulibaly franck kie,abidjan-hub,Abidjan Hub,Consultant @ Deloitte,Franck Kie,None,abidjan-hub, Deloitte
Abidjan,Côte d'Ivoire,/hubs/abidjan-hub,Sub-saharan Africa,richard ahedor seshie tchonte pitin mireille silue arnold gnama leslie sibailly tchonté silué ouattara kady affouet carole attoungbre franck stephane dedi fatim keita diplo andréa konan assiry kouakou hervé benjamin amani yacou habib kouame rita oulai david olivier capo fofana abdul kader ibrahim christelle kouadio jacques cangah liliane boa bibi gnagno marc wabi thannan kazana coulibaly franck kie,abidjan-hub,Abidjan Hub,President,Richard Ahedor Seshie,None,abidjan-hub,
